symbol,timestamp,open,high,low,close,volume
TSLA,2025-03-21 16:30:00,248.7400,249.0700,248.6500,249.0000,69011
TSLA,2025-03-21 16:25:00,248.5117,248.9300,248.4200,248.7500,92679
TSLA,2025-03-21 16:20:00,248.5000,248.8400,248.3500,248.5900,61016
TSLA,2025-03-21 16:15:00,248.7100,248.8400,247.6200,248.4800,111673
TSLA,2025-03-21 16:10:00,248.9300,249.0000,248.1700,248.7750,555836
TSLA,2025-03-21 16:05:00,249.3900,249.4300,248.6600,248.8900,878405
TSLA,2025-03-21 16:00:00,249.1300,249.8000,248.6600,249.3500,22414732
TSLA,2025-03-21 15:55:00,248.9600,249.5200,247.0300,249.1150,4142340
TSLA,2025-03-21 15:50:00,246.9600,249.0200,246.9600,248.9600,2957934
TSLA,2025-03-21 15:45:00,246.2700,247.3000,246.0600,246.9050,1813555
TSLA,2025-03-21 15:40:00,245.4900,246.3500,245.0600,246.2900,1506112
TSLA,2025-03-21 15:35:00,245.1600,245.7800,244.9100,245.4837,946239
TSLA,2025-03-21 15:30:00,245.0100,245.4396,244.6000,245.2000,850895
TSLA,2025-03-21 15:25:00,245.5000,245.5000,244.7000,245.0250,803151
TSLA,2025-03-21 15:20:00,245.0000,245.5700,244.5400,245.5346,1141879
TSLA,2025-03-21 15:15:00,245.5900,245.5900,244.6701,245.0001,983903
TSLA,2025-03-21 15:10:00,245.0983,245.7100,244.5200,245.6296,1224393
TSLA,2025-03-21 15:05:00,245.4600,245.9263,244.9600,245.1200,1017319
TSLA,2025-03-21 15:00:00,246.1100,246.1600,245.1200,245.4300,1171880
TSLA,2025-03-21 14:55:00,245.8100,246.4300,245.5200,246.1100,822795
TSLA,2025-03-21 14:50:00,246.3550,246.5900,245.6700,245.7816,878041
TSLA,2025-03-21 14:45:00,247.1700,247.3900,245.9600,246.3400,1044460
TSLA,2025-03-21 14:40:00,246.8800,247.4100,246.5700,247.2058,996145
TSLA,2025-03-21 14:35:00,246.4531,247.0000,246.2710,246.9000,796073
TSLA,2025-03-21 14:30:00,246.0700,246.5190,245.9200,246.4400,547837
TSLA,2025-03-21 14:25:00,246.1600,246.6300,245.7400,246.0750,657327
TSLA,2025-03-21 14:20:00,246.4500,246.4900,245.8200,246.2162,699700
TSLA,2025-03-21 14:15:00,246.3655,246.8600,245.9500,246.5000,655676
TSLA,2025-03-21 14:10:00,246.6850,246.8791,245.8100,246.3800,773683
TSLA,2025-03-21 14:05:00,247.1100,247.1300,246.4100,246.7273,692224
TSLA,2025-03-21 14:00:00,246.2800,247.2150,246.0600,247.1300,769683
TSLA,2025-03-21 13:55:00,246.8540,246.9800,246.0170,246.2600,865541
TSLA,2025-03-21 13:50:00,247.4400,247.5600,246.5300,246.8409,892871
TSLA,2025-03-21 13:45:00,247.1800,247.5499,246.9300,247.4298,846604
TSLA,2025-03-21 13:40:00,247.3100,247.4800,246.6300,247.1581,997599
TSLA,2025-03-21 13:35:00,246.3800,247.4000,246.0600,247.3070,1302697
TSLA,2025-03-21 13:30:00,245.3700,246.6900,245.1600,246.3600,1337799
TSLA,2025-03-21 13:25:00,245.6000,245.7400,244.8100,245.3600,775966
TSLA,2025-03-21 13:20:00,244.5900,245.8560,244.5000,245.6035,938341
TSLA,2025-03-21 13:15:00,244.8400,245.2800,244.4400,244.5900,961838
TSLA,2025-03-21 13:10:00,245.6306,245.7400,244.6501,244.8400,2205320
TSLA,2025-03-21 13:05:00,245.7300,246.5800,245.5500,245.6100,810650
TSLA,2025-03-21 13:00:00,246.8000,246.8200,245.4401,245.7187,1135169
TSLA,2025-03-21 12:55:00,245.7700,246.8900,245.5000,246.7983,1458939
TSLA,2025-03-21 12:50:00,245.5000,246.1700,244.9220,245.7800,1027783
TSLA,2025-03-21 12:45:00,245.3400,246.0800,245.0600,245.4701,1108593
TSLA,2025-03-21 12:40:00,245.6800,246.2400,244.8101,245.3300,1356313
TSLA,2025-03-21 12:35:00,246.0300,246.0500,244.8300,245.6900,1419099
TSLA,2025-03-21 12:30:00,244.9200,246.4200,244.8000,246.0300,2257693
TSLA,2025-03-21 12:25:00,244.6100,245.0200,244.4100,244.9500,1492622
TSLA,2025-03-21 12:20:00,243.7300,244.6300,243.5888,244.5700,1392968
TSLA,2025-03-21 12:15:00,243.1452,244.3700,242.8000,243.8100,1323771
TSLA,2025-03-21 12:10:00,242.4000,243.5200,242.0800,243.0857,1515431
TSLA,2025-03-21 12:05:00,241.4350,242.4500,241.4200,242.4000,1015816
TSLA,2025-03-21 12:00:00,241.1900,241.6200,240.0400,241.4693,861712
TSLA,2025-03-21 11:55:00,241.2800,241.4600,240.9300,241.2299,645847
TSLA,2025-03-21 11:50:00,240.5400,241.5724,240.1100,241.2550,1117592
TSLA,2025-03-21 11:45:00,239.6000,240.8300,239.5300,240.5330,821681
TSLA,2025-03-21 11:40:00,240.2799,240.5800,239.2800,239.6000,1117636
AMZN,2025-03-21 19:55:00,196.5000,196.6975,196.4400,196.6500,1781
AMZN,2025-03-21 19:50:00,196.5000,196.6400,196.3600,196.5250,2015
AMZN,2025-03-21 19:45:00,196.3900,196.6400,196.3300,196.5500,9929
AMZN,2025-03-21 19:40:00,196.3550,196.4300,196.3200,196.3900,1581
AMZN,2025-03-21 19:35:00,196.4099,196.4300,196.3200,196.3550,2718
AMZN,2025-03-21 19:30:00,196.4300,196.4300,196.2100,196.4000,10354
AMZN,2025-03-21 19:25:00,196.4500,196.4600,196.4000,196.4300,1237
AMZN,2025-03-21 19:20:00,196.4800,196.4800,196.4500,196.4598,768
AMZN,2025-03-21 19:15:00,196.4650,196.4800,196.4500,196.4650,976
AMZN,2025-03-21 19:10:00,196.4600,196.4900,196.4300,196.4650,1353
AMZN,2025-03-21 19:05:00,196.4900,196.4900,196.4300,196.4316,642
AMZN,2025-03-21 19:00:00,196.4650,196.5000,196.4300,196.4600,1774
AMZN,2025-03-21 18:55:00,196.5000,196.5000,196.4200,196.4500,394
AMZN,2025-03-21 18:50:00,196.4600,196.5100,196.4200,196.4600,722
AMZN,2025-03-21 18:45:00,196.4650,196.5100,196.4200,196.4400,349
AMZN,2025-03-21 18:40:00,196.5800,196.6500,196.4100,196.4650,5074
AMZN,2025-03-21 18:35:00,196.6100,196.6500,196.5700,196.5800,522
AMZN,2025-03-21 18:30:00,196.6400,196.6400,196.5500,196.6100,1120
AMZN,2025-03-21 18:25:00,196.5008,196.6400,196.5008,196.5500,1242
AMZN,2025-03-21 18:20:00,196.5250,196.5500,196.5000,196.5000,2782
AMZN,2025-03-21 18:15:00,196.5250,196.5500,196.5000,196.5250,3362
AMZN,2025-03-21 18:10:00,196.4400,196.5000,195.3308,196.5000,1235
AMZN,2025-03-21 18:05:00,196.4150,196.4700,196.3600,196.4700,1907
AMZN,2025-03-21 18:00:00,196.3800,196.4700,196.3102,196.3600,1728
AMZN,2025-03-21 17:55:00,196.4050,196.4500,196.3302,196.3885,1094
AMZN,2025-03-21 17:50:00,196.4050,196.4700,196.3400,196.4600,864
AMZN,2025-03-21 17:45:00,196.4600,196.4700,196.3300,196.4700,1381
AMZN,2025-03-21 17:40:00,196.4400,196.4700,196.4400,196.4550,3063
AMZN,2025-03-21 17:35:00,196.4600,196.4700,196.4000,196.4400,3028
AMZN,2025-03-21 17:30:00,196.4000,196.5400,196.3500,196.4900,3297
AMZN,2025-03-21 17:25:00,196.3700,196.5500,196.2100,196.4000,6381
AMZN,2025-03-21 17:20:00,196.4700,196.5500,196.3000,196.3000,5977
AMZN,2025-03-21 17:15:00,196.4500,203.2741,195.3537,196.5089,3098
AMZN,2025-03-21 17:10:00,196.5300,203.0148,186.5843,196.4483,10466
AMZN,2025-03-21 17:05:00,196.5700,203.6109,186.5843,196.5500,2730
AMZN,2025-03-21 17:00:00,196.6300,203.2741,192.7091,196.5500,2021
AMZN,2025-03-21 16:55:00,196.4200,196.6500,196.4018,196.5500,6502
AMZN,2025-03-21 16:50:00,196.5500,196.5700,196.2100,196.5000,1663
AMZN,2025-03-21 16:45:00,196.4100,196.7100,196.3500,196.5600,13479
AMZN,2025-03-21 16:40:00,196.5500,196.6500,196.3500,196.4200,3640
AMZN,2025-03-21 16:35:00,196.3750,196.6500,196.2100,196.6000,26448
AMZN,2025-03-21 16:30:00,196.3750,196.4000,196.3500,196.3900,1589
AMZN,2025-03-21 16:25:00,196.4100,196.4200,196.3000,196.3800,5147
AMZN,2025-03-21 16:20:00,196.3800,196.4500,196.2100,196.4000,27998
AMZN,2025-03-21 16:15:00,196.4000,196.4500,196.2100,196.4000,10404
AMZN,2025-03-21 16:10:00,196.4400,196.4700,196.2022,196.3500,297289
AMZN,2025-03-21 16:05:00,196.2100,196.4900,196.2100,196.4012,1629141
AMZN,2025-03-21 16:00:00,196.1900,196.3900,195.8900,196.2419,40360813
AMZN,2025-03-21 15:55:00,196.6600,196.7300,195.7800,196.2100,2339807
AMZN,2025-03-21 15:50:00,195.8200,196.9900,195.8200,196.6700,943640
AMZN,2025-03-21 15:45:00,195.8100,196.0000,195.7100,195.8000,386768
AMZN,2025-03-21 15:40:00,195.7000,195.8900,195.5300,195.8100,303132
AMZN,2025-03-21 15:35:00,195.7900,195.9300,195.6100,195.7000,296694
AMZN,2025-03-21 15:30:00,195.5800,195.8900,195.5800,195.7900,364077
AMZN,2025-03-21 15:25:00,195.7499,195.7800,195.4500,195.5802,288431
AMZN,2025-03-21 15:20:00,195.6600,195.7900,195.3612,195.7400,258123
AMZN,2025-03-21 15:15:00,195.5300,195.7200,195.4000,195.6694,206917
AMZN,2025-03-21 15:10:00,195.3300,195.5800,195.2600,195.5600,228093
AMZN,2025-03-21 15:05:00,195.5900,195.7000,195.3200,195.3450,213091
AMZN,2025-03-21 15:00:00,195.8300,195.9200,195.5700,195.5900,220798
